userIdInt,recommendations
330,"[{'145022': 3.83}, {'189325': 3.64}, {'171749': 3.03}, {'160990': 2.96}, {'188187': 2.96}, {'173535': 2.95}, {'560': 2.91}, {'139636': 2.91}, {'145140': 2.91}, {'84122': 2.89}, {'116839': 2.89}, {'70229': 2.89}, {'138680': 2.89}, {'162726': 2.88}, {'142857': 2.86}]"
331,"[{'33264': 5.0}, {'9019': 5.0}, {'173351': 5.28}, {'56511': 5.28}, {'8238': 5.21}, {'6121': 5.15}, {'189325': 5.13}, {'5037': 5.13}, {'96004': 4.98}, {'7343': 4.97}, {'985': 4.96}, {'871': 4.94}, {'26581': 4.92}, {'7341': 4.74}, {'3229': 4.65}]"
332,"[{'145022': 4.24}, {'189325': 3.85}, {'142857': 3.04}, {'4538': 3.01}, {'144448': 2.85}, {'26593': 2.83}, {'60356': 2.81}, {'97828': 2.79}, {'76158': 2.79}, {'114895': 2.75}, {'175165': 2.75}, {'103022': 2.75}, {'26761': 2.71}, {'133869': 2.7}, {'71027': 2.7}]"
333,"[{'189325': 4.46}, {'145022': 3.75}, {'96687': 3.2}, {'142861': 2.99}, {'5783': 2.94}, {'25947': 2.92}, {'62206': 2.92}, {'60880': 2.92}, {'79236': 2.92}, {'6030': 2.91}, {'31032': 2.9}, {'101218': 2.89}, {'8462': 2.89}, {'6241': 2.87}, {'72899': 2.87}]"
334,"[{'145022': 3.73}, {'170959': 3.33}, {'189325': 3.2}, {'48167': 3.09}, {'89862': 3.02}, {'127192': 2.97}, {'192579': 2.95}, {'155625': 2.93}, {'42740': 2.9}, {'1652': 2.89}, {'56167': 2.86}, {'185951': 2.86}, {'60880': 2.83}, {'62206': 2.83}, {'79236': 2.83}]"
335,"[{'158322': 3.86}, {'145022': 3.72}, {'59832': 3.64}, {'144448': 3.48}, {'119565': 3.38}, {'174219': 3.36}, {'189325': 3.3}, {'51354': 3.14}, {'156903': 3.12}, {'89862': 3.11}, {'114895': 3.09}, {'89632': 3.08}, {'69803': 3.07}, {'139106': 3.04}, {'167532': 3.03}]"
336,"[{'189325': 2.85}, {'112907': 2.82}, {'7928': 2.82}, {'137759': 2.81}, {'79507': 2.76}, {'55856': 2.73}, {'135290': 2.71}, {'4739': 2.7}, {'32375': 2.69}, {'145022': 2.66}, {'127188': 2.64}, {'192579': 2.62}, {'61257': 2.6}, {'155285': 2.6}, {'165069': 2.59}]"
337,"[{'189325': 4.32}, {'145022': 4.29}, {'175165': 3.4}, {'112066': 3.39}, {'152067': 3.35}, {'136443': 3.32}, {'145028': 3.31}, {'51402': 3.26}, {'4538': 3.25}, {'188625': 3.23}, {'61628': 3.23}, {'70175': 3.22}, {'79987': 3.22}, {'97828': 3.19}, {'60356': 3.1}]"
338,"[{'145022': 3.73}, {'27646': 3.39}, {'173535': 3.38}, {'39244': 3.38}, {'49225': 3.36}, {'112903': 3.28}, {'140769': 3.28}, {'192579': 3.24}, {'46770': 3.1}, {'96634': 3.08}, {'132358': 3.06}, {'170939': 3.01}, {'160678': 3.0}, {'65357': 2.98}, {'89632': 2.98}]"
339,"[{'5465': 4.54}, {'135625': 4.41}, {'90939': 4.37}, {'31148': 4.27}, {'6456': 4.23}, {'160209': 4.17}, {'26222': 4.11}, {'116191': 4.06}, {'6866': 4.01}, {'6563': 3.97}, {'5024': 3.93}, {'42740': 3.79}, {'172455': 3.77}, {'167964': 3.77}, {'25759': 3.75}]"
340,"[{'145022': 4.56}, {'189325': 4.21}, {'71027': 3.02}, {'142857': 2.98}, {'79236': 2.93}, {'62206': 2.93}, {'60880': 2.93}, {'27093': 2.79}, {'98595': 2.76}, {'158832': 2.74}, {'59799': 2.72}, {'142861': 2.69}, {'86096': 2.68}, {'145994': 2.68}, {'91970': 2.67}]"
341,"[{'145022': 3.88}, {'98126': 3.67}, {'189325': 3.64}, {'8238': 3.55}, {'56511': 3.52}, {'60135': 3.49}, {'985': 3.44}, {'140150': 3.37}, {'47117': 3.35}, {'115973': 3.28}, {'5783': 3.25}, {'117310': 3.2}, {'5939': 3.19}, {'69075': 3.14}, {'6342': 3.09}]"
342,"[{'145022': 3.42}, {'189325': 3.22}, {'89632': 2.69}, {'71027': 2.56}, {'146684': 2.51}, {'98595': 2.45}, {'97828': 2.44}, {'96634': 2.43}, {'114895': 2.43}, {'4538': 2.39}, {'7928': 2.39}, {'147250': 2.37}, {'27093': 2.37}, {'76158': 2.36}, {'60880': 2.36}]"
343,"[{'145022': 3.58}, {'189325': 3.13}, {'26219': 2.75}, {'190089': 2.71}, {'34246': 2.63}, {'145140': 2.6}, {'116839': 2.56}, {'873': 2.51}, {'173535': 2.48}, {'188187': 2.43}, {'132358': 2.42}, {'47277': 2.42}, {'26117': 2.42}, {'106165': 2.39}, {'192579': 2.38}]"
344,"[{'189325': 4.3}, {'145022': 4.14}, {'142857': 3.75}, {'131252': 3.28}, {'6511': 3.27}, {'108518': 3.25}, {'51167': 3.24}, {'49668': 3.23}, {'8238': 3.15}, {'120813': 3.13}, {'2591': 3.1}, {'7351': 3.09}, {'4698': 3.08}, {'26809': 3.07}, {'115965': 3.06}]"
345,"[{'145022': 3.68}, {'189325': 2.88}, {'142857': 2.75}, {'96634': 2.63}, {'44421': 2.58}, {'132632': 2.56}, {'26073': 2.48}, {'4538': 2.48}, {'133716': 2.45}, {'83506': 2.44}, {'51167': 2.39}, {'145140': 2.37}, {'116839': 2.37}, {'6342': 2.36}, {'97395': 2.35}]"
346,"[{'157106': 5.0}, {'157224': 5.0}, {'27856': 5.32}, {'116215': 5.29}, {'5626': 5.22}, {'98065': 5.2}, {'5624': 5.01}, {'3149': 4.99}, {'93923': 4.96}, {'65359': 4.96}, {'132569': 4.92}, {'99397': 4.91}, {'33410': 4.89}, {'137457': 4.89}, {'69093': 4.86}]"
347,"[{'48389': 5.0}, {'31032': 5.0}, {'87115': 5.0}, {'6241': 5.0}, {'4982': 5.0}, {'6154': 5.0}, {'114895': 5.37}, {'118334': 5.35}, {'136443': 5.1}, {'158322': 5.04}, {'61628': 5.03}, {'76772': 4.89}, {'66659': 4.87}, {'119565': 4.86}, {'7165': 4.84}]"
348,"[{'158322': 4.84}, {'59832': 4.62}, {'144448': 4.22}, {'174219': 4.2}, {'167532': 3.94}, {'174255': 3.69}, {'174169': 3.69}, {'174353': 3.69}, {'186953': 3.67}, {'26417': 3.64}, {'165397': 3.62}, {'171469': 3.62}, {'51354': 3.59}, {'48389': 3.59}, {'119565': 3.59}]"
349,"[{'145022': 4.86}, {'7405': 4.23}, {'32385': 4.22}, {'26803': 4.22}, {'26501': 4.18}, {'172583': 4.06}, {'145998': 4.02}, {'1555': 4.0}, {'173351': 3.92}, {'86728': 3.82}, {'47493': 3.79}, {'95670': 3.69}, {'7194': 3.66}, {'141954': 3.61}, {'8503': 3.61}]"
350,"[{'189325': 3.26}, {'145022': 3.05}, {'98697': 3.04}, {'91035': 2.93}, {'26761': 2.89}, {'49225': 2.88}, {'46194': 2.87}, {'140769': 2.79}, {'174219': 2.73}, {'7742': 2.72}, {'54171': 2.7}, {'144448': 2.7}, {'165635': 2.68}, {'96634': 2.68}, {'51167': 2.67}]"
351,"[{'84230': 3.84}, {'115965': 3.58}, {'98065': 3.5}, {'6342': 3.49}, {'34246': 3.4}, {'26219': 3.32}, {'149130': 3.31}, {'111680': 3.28}, {'104631': 3.21}, {'5028': 3.21}, {'4698': 3.18}, {'8238': 3.18}, {'32239': 3.13}, {'7343': 3.13}, {'85334': 3.12}]"
352,"[{'89862': 3.87}, {'110461': 3.78}, {'5216': 3.65}, {'31107': 3.55}, {'48167': 3.52}, {'8922': 3.48}, {'170939': 3.42}, {'192579': 3.34}, {'120853': 3.34}, {'26219': 3.29}, {'37957': 3.26}, {'98485': 3.24}, {'7885': 3.24}, {'26059': 3.24}, {'92498': 3.23}]"
353,"[{'26914': 5.0}, {'5700': 5.0}, {'78162': 5.0}, {'5182': 5.0}, {'133335': 5.0}, {'5626': 5.0}, {'26080': 5.0}, {'5982': 5.0}, {'3335': 5.0}, {'114895': 5.0}, {'38881': 5.0}, {'7457': 5.0}, {'51167': 5.0}, {'157106': 5.37}, {'36086': 5.25}]"
354,"[{'189325': 4.78}, {'145022': 4.51}, {'156783': 4.41}, {'8867': 4.17}, {'2216': 4.09}, {'26803': 4.01}, {'26761': 3.96}, {'1555': 3.87}, {'179285': 3.85}, {'166777': 3.84}, {'142857': 3.76}, {'8503': 3.68}, {'32375': 3.65}, {'32649': 3.63}, {'7388': 3.62}]"
355,"[{'26761': 3.86}, {'4739': 3.71}, {'135290': 3.69}, {'32375': 3.58}, {'179285': 3.53}, {'8867': 3.47}, {'6127': 3.26}, {'189325': 3.18}, {'114873': 3.17}, {'156783': 3.14}, {'27754': 3.14}, {'7168': 3.12}, {'3106': 3.08}, {'104321': 3.07}, {'61628': 3.04}]"
356,"[{'145022': 2.8}, {'189325': 2.79}, {'115965': 2.39}, {'1664': 2.37}, {'6342': 2.35}, {'135979': 2.33}, {'188187': 2.3}, {'116839': 2.29}, {'132358': 2.29}, {'182993': 2.28}, {'79236': 2.28}, {'60880': 2.28}, {'62206': 2.28}, {'26219': 2.27}, {'34246': 2.27}]"
357,"[{'145022': 4.69}, {'189325': 3.52}, {'71027': 2.86}, {'190089': 2.83}, {'4538': 2.76}, {'142857': 2.74}, {'118252': 2.72}, {'105364': 2.59}, {'86096': 2.48}, {'7423': 2.48}, {'51402': 2.43}, {'84779': 2.43}, {'873': 2.42}, {'136588': 2.42}, {'142861': 2.42}]"
358,"[{'145022': 4.21}, {'116839': 3.05}, {'189325': 2.99}, {'3229': 2.97}, {'146360': 2.91}, {'872': 2.9}, {'26501': 2.87}, {'188187': 2.86}, {'92498': 2.85}, {'173535': 2.85}, {'115965': 2.84}, {'171749': 2.83}, {'192579': 2.8}, {'8680': 2.79}, {'89961': 2.77}]"
359,"[{'44073': 5.0}, {'5939': 5.0}, {'30721': 4.64}, {'171631': 4.43}, {'58870': 4.35}, {'61037': 4.19}, {'130522': 4.02}, {'128594': 3.96}, {'102396': 3.93}, {'115973': 3.92}, {'40752': 3.86}, {'43289': 3.84}, {'1652': 3.82}, {'133869': 3.79}, {'140150': 3.77}]"
360,"[{'60135': 4.11}, {'67812': 4.03}, {'27320': 3.93}, {'173427': 3.92}, {'47117': 3.92}, {'6342': 3.9}, {'192579': 3.88}, {'98126': 3.85}, {'84230': 3.8}, {'155285': 3.8}, {'89898': 3.73}, {'180737': 3.72}, {'34411': 3.69}, {'101893': 3.68}, {'130': 3.64}]"
361,"[{'61037': 4.06}, {'58870': 3.99}, {'1652': 3.93}, {'89862': 3.93}, {'171631': 3.9}, {'105130': 3.89}, {'133869': 3.86}, {'54229': 3.82}, {'5939': 3.81}, {'101262': 3.76}, {'170959': 3.72}, {'2538': 3.67}, {'102396': 3.66}, {'103022': 3.55}, {'140106': 3.54}]"
362,"[{'145022': 3.97}, {'189325': 3.08}, {'27217': 2.85}, {'114895': 2.76}, {'70978': 2.74}, {'31894': 2.7}, {'117310': 2.69}, {'6843': 2.65}, {'56511': 2.57}, {'68612': 2.56}, {'31038': 2.56}, {'96687': 2.56}, {'74148': 2.55}, {'9019': 2.54}, {'6119': 2.54}]"
363,"[{'7343': 3.99}, {'5223': 3.73}, {'115973': 3.58}, {'985': 3.47}, {'56167': 3.46}, {'61678': 3.39}, {'130510': 3.38}, {'189325': 3.38}, {'121374': 3.27}, {'161584': 3.25}, {'117310': 3.23}, {'132146': 3.23}, {'48660': 3.21}, {'56511': 3.2}, {'99143': 3.2}]"
364,"[{'142857': 5.0}, {'114760': 5.29}, {'32811': 5.19}, {'171749': 5.1}, {'27841': 5.09}, {'145022': 4.91}, {'134704': 4.88}, {'138680': 4.84}, {'44241': 4.83}, {'6312': 4.78}, {'2299': 4.76}, {'148108': 4.75}, {'154941': 4.7}, {'5210': 4.69}, {'88192': 4.67}]"
365,"[{'145022': 5.34}, {'70978': 4.65}, {'76085': 4.55}, {'96634': 4.18}, {'126927': 4.17}, {'86728': 4.12}, {'55726': 4.06}, {'179275': 4.06}, {'73824': 4.01}, {'6248': 4.01}, {'39244': 3.97}, {'6673': 3.96}, {'6843': 3.94}, {'81702': 3.87}, {'49355': 3.78}]"
366,"[{'145028': 3.61}, {'55856': 3.04}, {'82591': 3.01}, {'76158': 3.0}, {'26761': 3.0}, {'189325': 2.98}, {'175165': 2.96}, {'26593': 2.94}, {'60356': 2.89}, {'145022': 2.88}, {'175625': 2.85}, {'51187': 2.82}, {'156783': 2.81}, {'140349': 2.75}, {'104321': 2.74}]"
367,"[{'7341': 5.14}, {'26761': 4.63}, {'96004': 4.62}, {'189325': 4.52}, {'69075': 4.46}, {'5083': 4.25}, {'6119': 4.17}, {'141826': 4.16}, {'985': 4.14}, {'54185': 4.06}, {'175165': 4.04}, {'83506': 4.04}, {'145022': 4.01}, {'9019': 4.0}, {'70978': 3.98}]"
368,"[{'189325': 4.46}, {'145022': 3.89}, {'142857': 3.87}, {'43289': 3.51}, {'86096': 3.46}, {'142861': 3.37}, {'5982': 3.32}, {'58870': 3.31}, {'49668': 3.3}, {'143239': 3.15}, {'32811': 3.15}, {'2591': 3.14}, {'71027': 3.13}, {'5939': 3.1}, {'85298': 3.06}]"
369,"[{'145022': 4.38}, {'189325': 4.17}, {'62206': 2.78}, {'60880': 2.78}, {'79236': 2.78}, {'142857': 2.78}, {'142861': 2.73}, {'3229': 2.68}, {'66019': 2.66}, {'1555': 2.65}, {'61628': 2.64}, {'4538': 2.63}, {'92118': 2.63}, {'71027': 2.63}, {'72899': 2.61}]"
370,"[{'9019': 3.95}, {'170024': 3.62}, {'1664': 3.45}, {'56511': 3.44}, {'985': 3.4}, {'189325': 3.38}, {'54198': 3.35}, {'7343': 3.31}, {'35386': 3.3}, {'84122': 3.3}, {'130': 3.26}, {'54243': 3.25}, {'111320': 3.21}, {'5035': 3.13}, {'165343': 3.1}]"
371,"[{'154941': 5.0}, {'170959': 5.0}, {'127192': 5.0}, {'27646': 5.0}, {'52865': 5.0}, {'42740': 5.0}, {'49225': 5.0}, {'84799': 5.0}, {'1652': 5.0}, {'107117': 5.0}, {'136249': 5.0}, {'6349': 5.0}, {'161584': 5.0}, {'53349': 5.0}, {'111783': 5.0}]"
372,"[{'145022': 3.68}, {'189325': 3.39}, {'96687': 2.51}, {'79236': 2.32}, {'60880': 2.32}, {'62206': 2.32}, {'173535': 2.27}, {'140150': 2.26}, {'173351': 2.25}, {'117310': 2.22}, {'72899': 2.21}, {'9019': 2.2}, {'985': 2.2}, {'145140': 2.18}, {'5037': 2.17}]"
373,"[{'26761': 5.27}, {'158322': 5.12}, {'26157': 5.04}, {'54171': 4.91}, {'144448': 4.72}, {'78111': 4.46}, {'8878': 4.4}, {'114895': 4.38}, {'5700': 4.34}, {'27513': 4.3}, {'26791': 4.28}, {'188307': 4.24}, {'31038': 4.2}, {'143353': 4.19}, {'61398': 4.16}]"
374,"[{'27320': 3.34}, {'189325': 3.29}, {'6342': 3.11}, {'139636': 3.09}, {'136249': 3.05}, {'52865': 3.02}, {'106158': 3.01}, {'76158': 3.0}, {'101893': 2.96}, {'3106': 2.95}, {'47117': 2.95}, {'71027': 2.94}, {'55856': 2.92}, {'116704': 2.91}, {'106094': 2.91}]"
375,"[{'145022': 5.25}, {'173535': 3.97}, {'171749': 3.77}, {'162726': 3.61}, {'101262': 3.54}, {'145140': 3.43}, {'136443': 3.35}, {'71182': 3.33}, {'160990': 3.29}, {'96634': 3.26}, {'71116': 3.25}, {'188751': 3.25}, {'98755': 3.25}, {'70968': 3.21}, {'79259': 3.13}]"
376,"[{'39410': 3.22}, {'26219': 3.02}, {'34246': 2.79}, {'1555': 2.78}, {'7423': 2.76}, {'86574': 2.75}, {'49123': 2.71}, {'47277': 2.67}, {'189325': 2.66}, {'26117': 2.61}, {'89217': 2.61}, {'68835': 2.6}, {'169288': 2.59}, {'116493': 2.59}, {'27734': 2.58}]"
377,"[{'132569': 4.44}, {'71418': 4.25}, {'70175': 4.08}, {'59107': 4.07}, {'8142': 3.99}, {'188625': 3.96}, {'34246': 3.94}, {'27856': 3.94}, {'190089': 3.91}, {'114704': 3.78}, {'26117': 3.76}, {'89961': 3.74}, {'173535': 3.72}, {'3149': 3.7}, {'48301': 3.63}]"
378,"[{'189325': 3.48}, {'145022': 3.02}, {'62206': 2.74}, {'60880': 2.74}, {'79236': 2.74}, {'142857': 2.71}, {'91970': 2.6}, {'560': 2.59}, {'6342': 2.55}, {'188187': 2.54}, {'27093': 2.52}, {'156783': 2.49}, {'158832': 2.49}, {'49994': 2.48}, {'173275': 2.48}]"
379,"[{'89862': 4.23}, {'42740': 4.04}, {'5484': 3.54}, {'5783': 3.53}, {'106158': 3.52}, {'127192': 3.49}, {'161584': 3.43}, {'5086': 3.37}, {'84799': 3.35}, {'5537': 3.29}, {'6649': 3.25}, {'1796': 3.23}, {'104099': 3.22}, {'82931': 3.2}, {'151515': 3.18}]"
380,"[{'158322': 5.0}, {'78111': 5.0}, {'114895': 5.0}, {'54171': 5.0}, {'5484': 5.0}, {'5700': 5.0}, {'144448': 5.0}, {'59295': 5.0}, {'143353': 5.0}, {'136443': 5.0}, {'114888': 5.0}, {'26157': 5.38}, {'45188': 5.32}, {'31038': 5.31}, {'8878': 5.3}]"
381,"[{'101262': 5.0}, {'59832': 5.0}, {'119563': 4.97}, {'42213': 4.26}, {'4137': 4.2}, {'51187': 4.14}, {'96009': 4.12}, {'136443': 4.08}, {'118570': 4.02}, {'158322': 4.01}, {'46912': 4.0}, {'175625': 3.98}, {'145022': 3.97}, {'49225': 3.97}, {'113048': 3.97}]"
382,"[{'145022': 4.89}, {'136956': 3.86}, {'192579': 3.6}, {'52170': 3.59}, {'145384': 3.39}, {'3609': 3.33}, {'100089': 3.31}, {'190089': 3.31}, {'32988': 3.3}, {'4538': 3.23}, {'105364': 3.22}, {'7066': 3.2}, {'168910': 3.2}, {'188625': 3.18}, {'81989': 3.16}]"
383,"[{'5783': 4.75}, {'40752': 4.2}, {'106158': 4.01}, {'99397': 3.96}, {'67812': 3.9}, {'1796': 3.82}, {'43289': 3.78}, {'985': 3.74}, {'27320': 3.73}, {'4556': 3.66}, {'98065': 3.6}, {'89862': 3.58}, {'96004': 3.58}, {'42740': 3.56}, {'2768': 3.54}]"
384,"[{'170939': 3.57}, {'7343': 3.45}, {'145022': 3.38}, {'6342': 3.36}, {'132569': 3.3}, {'96634': 3.27}, {'133769': 3.24}, {'146360': 3.22}, {'26073': 3.19}, {'46770': 3.17}, {'173535': 3.17}, {'39244': 3.15}, {'145140': 3.11}, {'1903': 3.11}, {'7474': 3.1}]"
385,"[{'145028': 5.0}, {'133199': 5.0}, {'5727': 5.0}, {'3464': 5.0}, {'55856': 5.0}, {'51187': 5.0}, {'143353': 5.38}, {'175165': 5.26}, {'4137': 5.2}, {'5626': 5.18}, {'4868': 5.15}, {'59832': 5.13}, {'7879': 5.09}, {'1710': 5.09}, {'107117': 5.08}]"
386,"[{'145022': 4.17}, {'189325': 3.34}, {'31894': 3.09}, {'170481': 3.03}, {'107999': 2.99}, {'97648': 2.95}, {'146684': 2.94}, {'114895': 2.88}, {'119153': 2.87}, {'89632': 2.86}, {'134109': 2.86}, {'139106': 2.85}, {'81725': 2.85}, {'170939': 2.84}, {'26219': 2.84}]"
387,"[{'8421': 4.17}, {'139106': 3.78}, {'81725': 3.77}, {'65359': 3.7}, {'157387': 3.65}, {'33410': 3.63}, {'5783': 3.6}, {'107737': 3.59}, {'42740': 3.57}, {'170939': 3.47}, {'133335': 3.42}, {'106158': 3.41}, {'89862': 3.4}, {'46912': 3.37}, {'53022': 3.36}]"
388,"[{'6342': 3.87}, {'192579': 3.86}, {'112903': 3.64}, {'77841': 3.62}, {'140769': 3.56}, {'60135': 3.5}, {'5216': 3.5}, {'82157': 3.41}, {'27646': 3.36}, {'81665': 3.31}, {'136249': 3.3}, {'1903': 3.3}, {'170959': 3.26}, {'25900': 3.22}, {'106111': 3.21}]"
389,"[{'192579': 5.09}, {'127188': 4.89}, {'145022': 4.81}, {'167964': 4.52}, {'171749': 4.24}, {'66339': 4.11}, {'91707': 4.03}, {'188187': 3.99}, {'177939': 3.98}, {'176349': 3.96}, {'145994': 3.93}, {'190089': 3.92}, {'853': 3.89}, {'140809': 3.87}, {'2299': 3.86}]"
390,"[{'145022': 4.15}, {'189325': 3.33}, {'31032': 2.65}, {'89632': 2.63}, {'48389': 2.55}, {'114895': 2.53}, {'4538': 2.44}, {'81445': 2.44}, {'55106': 2.43}, {'146002': 2.41}, {'71027': 2.4}, {'190089': 2.38}, {'142861': 2.38}, {'3229': 2.38}, {'79987': 2.35}]"
391,"[{'145022': 4.19}, {'189325': 3.43}, {'89862': 2.92}, {'62206': 2.79}, {'60880': 2.79}, {'79236': 2.79}, {'31894': 2.72}, {'92118': 2.71}, {'192579': 2.7}, {'72899': 2.69}, {'140150': 2.64}, {'119565': 2.63}, {'31032': 2.62}, {'89632': 2.6}, {'105130': 2.6}]"
392,"[{'189325': 3.23}, {'145022': 2.68}, {'2768': 2.6}, {'60880': 2.58}, {'62206': 2.58}, {'79236': 2.58}, {'142857': 2.53}, {'142861': 2.51}, {'146684': 2.5}, {'91970': 2.43}, {'158832': 2.41}, {'173275': 2.39}, {'92118': 2.38}, {'105130': 2.37}, {'27093': 2.36}]"
393,"[{'145022': 3.42}, {'189325': 3.34}, {'142857': 2.81}, {'60356': 2.76}, {'58870': 2.75}, {'152067': 2.74}, {'145028': 2.74}, {'76158': 2.7}, {'103022': 2.67}, {'71027': 2.67}, {'82591': 2.66}, {'26593': 2.66}, {'31032': 2.66}, {'144656': 2.56}, {'31894': 2.55}]"
394,"[{'67812': 3.87}, {'60135': 3.62}, {'40752': 3.58}, {'101893': 3.57}, {'155285': 3.55}, {'6127': 3.5}, {'124476': 3.46}, {'177287': 3.45}, {'27320': 3.43}, {'103386': 3.41}, {'5783': 3.39}, {'8867': 3.34}, {'26540': 3.31}, {'47150': 3.3}, {'2673': 3.29}]"
395,"[{'145022': 3.28}, {'189325': 3.16}, {'173535': 2.48}, {'84122': 2.42}, {'79236': 2.34}, {'62206': 2.34}, {'60880': 2.34}, {'145994': 2.27}, {'105364': 2.23}, {'32375': 2.23}, {'35386': 2.22}, {'97828': 2.21}, {'1664': 2.2}, {'171749': 2.19}, {'188187': 2.19}]"
396,"[{'117310': 3.88}, {'115973': 3.83}, {'31107': 3.74}, {'44073': 3.68}, {'48167': 3.65}, {'92498': 3.49}, {'56511': 3.48}, {'145022': 3.36}, {'130510': 3.3}, {'150602': 3.23}, {'128671': 3.23}, {'63458': 3.2}, {'89347': 3.14}, {'115011': 3.12}, {'5687': 3.12}]"
397,"[{'6511': 4.49}, {'91035': 3.83}, {'7742': 3.64}, {'3229': 3.6}, {'26761': 3.54}, {'49642': 3.49}, {'34246': 3.48}, {'108518': 3.48}, {'43926': 3.45}, {'136445': 3.39}, {'5778': 3.35}, {'188309': 3.33}, {'115965': 3.3}, {'6600': 3.3}, {'31148': 3.29}]"
398,"[{'82591': 4.05}, {'31894': 3.91}, {'55298': 3.9}, {'77841': 3.62}, {'175625': 3.6}, {'101262': 3.54}, {'47642': 3.42}, {'56167': 3.34}, {'96634': 3.28}, {'7437': 3.22}, {'55856': 3.21}, {'5467': 3.21}, {'36523': 3.18}, {'63481': 3.12}, {'4868': 3.1}]"
399,"[{'189325': 3.76}, {'40752': 3.19}, {'135290': 3.04}, {'142857': 3.03}, {'76158': 3.02}, {'4739': 3.01}, {'110380': 3.01}, {'124476': 2.99}, {'55856': 2.96}, {'89139': 2.96}, {'68482': 2.95}, {'32375': 2.95}, {'142861': 2.94}, {'34548': 2.91}, {'26835': 2.89}]"
400,"[{'77841': 5.0}, {'5727': 5.0}, {'33410': 5.0}, {'60135': 5.0}, {'6342': 5.0}, {'121135': 5.0}, {'82157': 5.0}, {'136249': 5.0}, {'27320': 5.29}, {'55298': 5.25}, {'1903': 5.23}, {'170939': 5.21}, {'7879': 5.19}, {'169888': 5.18}, {'61264': 5.18}]"
401,"[{'89139': 4.11}, {'133335': 4.07}, {'70175': 4.06}, {'4739': 4.03}, {'151767': 3.94}, {'189325': 3.84}, {'86057': 3.84}, {'151769': 3.73}, {'7928': 3.7}, {'49668': 3.66}, {'114875': 3.62}, {'137759': 3.59}, {'26520': 3.57}, {'130996': 3.55}, {'89386': 3.52}]"
402,"[{'145022': 3.46}, {'189325': 3.06}, {'116839': 2.96}, {'142857': 2.93}, {'192579': 2.82}, {'127188': 2.8}, {'145140': 2.79}, {'6342': 2.78}, {'71027': 2.72}, {'84230': 2.71}, {'131252': 2.71}, {'171749': 2.66}, {'140769': 2.59}, {'139636': 2.59}, {'118890': 2.57}]"
403,"[{'145022': 3.93}, {'189325': 3.57}, {'188751': 2.82}, {'145994': 2.81}, {'46194': 2.78}, {'114895': 2.7}, {'3625': 2.66}, {'136443': 2.62}, {'173735': 2.56}, {'26139': 2.48}, {'173535': 2.48}, {'5842': 2.46}, {'84122': 2.45}, {'106906': 2.4}, {'84160': 2.4}]"
404,"[{'84230': 3.07}, {'62299': 2.97}, {'140809': 2.95}, {'48660': 2.59}, {'91823': 2.57}, {'127154': 2.55}, {'106561': 2.5}, {'121155': 2.48}, {'109556': 2.45}, {'188751': 2.42}, {'8055': 2.41}, {'58718': 2.4}, {'116493': 2.4}, {'148855': 2.38}, {'138680': 2.36}]"
405,"[{'26157': 5.0}, {'135135': 5.0}, {'5700': 5.0}, {'145028': 5.0}, {'143353': 5.0}, {'70992': 5.0}, {'26761': 5.0}, {'5484': 5.0}, {'27513': 5.0}, {'188307': 5.0}, {'69075': 5.0}, {'78162': 5.0}, {'7343': 5.0}, {'136459': 5.0}, {'31038': 5.0}]"
406,"[{'145022': 5.08}, {'31894': 4.62}, {'162726': 4.26}, {'56167': 4.25}, {'170959': 4.12}, {'71116': 4.04}, {'96634': 3.97}, {'48167': 3.96}, {'31107': 3.86}, {'101262': 3.84}, {'94663': 3.83}, {'165239': 3.78}, {'5223': 3.74}, {'84972': 3.72}, {'117310': 3.71}]"
407,"[{'189325': 3.51}, {'145022': 3.32}, {'142857': 3.13}, {'43289': 3.11}, {'58870': 3.11}, {'65588': 3.1}, {'5939': 3.08}, {'112066': 3.04}, {'49668': 3.0}, {'105364': 2.89}, {'156783': 2.83}, {'86096': 2.83}, {'40752': 2.81}, {'168910': 2.8}, {'151767': 2.68}]"
408,"[{'145022': 4.06}, {'192579': 2.75}, {'173535': 2.61}, {'189325': 2.5}, {'171749': 2.46}, {'145994': 2.41}, {'33861': 2.39}, {'113190': 2.35}, {'165163': 2.32}, {'154939': 2.31}, {'114852': 2.29}, {'7194': 2.27}, {'98587': 2.27}, {'4307': 2.25}, {'82320': 2.23}]"
409,"[{'166777': 5.03}, {'69075': 4.9}, {'40752': 4.84}, {'44073': 4.79}, {'27513': 4.71}, {'189325': 4.61}, {'145028': 4.39}, {'8867': 4.36}, {'156783': 4.3}, {'7341': 4.29}, {'185979': 4.2}, {'170601': 4.14}, {'26761': 4.09}, {'124476': 4.03}, {'985': 3.99}]"
410,"[{'145022': 4.02}, {'89862': 3.45}, {'105130': 3.14}, {'31894': 2.98}, {'140150': 2.9}, {'104762': 2.81}, {'25762': 2.81}, {'31032': 2.71}, {'189325': 2.66}, {'68874': 2.63}, {'61862': 2.61}, {'126927': 2.6}, {'61037': 2.6}, {'81910': 2.56}, {'119565': 2.53}]"
